
"Après avoir décoché les actions ILD, si le PA ne contient plus AUCUNE Action ""Active"", le pilote du PA peut lancer la procédure de clôture.";;;;;;;;;;;;;;

"N° PA";"Grp Resp";"Spec";"Libellé PA";"Création";"Echéance";"Statut";"Active";;;;;;"Active";".";"Close";;"Close";".";
"00045286 ";"PASURPRCH6";" ";"DI001 - MEA ITS SURCHARGE DIESEL CPY - 1P2017 DAM";"14/09/16";"01/08/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00054239 ";"PASIRPI";"SIR";"[PIE] - fonction GCT606TY-B 2P 2018";"30/01/17";"01/08/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00054219 ";"PASIRPI";"SIR";"[PIE] - fonction ABP060TY 1234P 2017-2018-2019";"30/01/17";"02/08/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00054231 ";"PASIRPI";"SIR";"[PIE] - fonction ABP061TY 1234P 2017-2018-2019";"30/01/17";"02/08/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00065695 ";"PAEXPPI";" ";"DI001 - MEA GAMMES MUTUAL SUITE REX EXPL - 1234C2017 DAM";"15/06/17";"09/08/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00065690 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°266 JUIN 2017";"15/06/17";"14/08/17";"APPROUVÉ";;;;"6";"3";;"9";;;"1";"1";;
"00065708 ";"PACHAPI";" ";"DI001 - MEA MO mutual PNSMQLKE01 suite DED - 1234C2017 DAM";"15/06/17";"14/08/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00055496 ";"PASIRPI";"SIR";"[PIE] - fonction AHP003TY 1234P 2017-2018-2019";"15/02/17";"17/08/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00055501 ";"PASIRPI";"SIR";"[PIE] - fonction AHP004TY 1234P 2017-2018-2019";"15/02/17";"17/08/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00055505 ";"PASIRPI";"SIR";"[PIE] - fonction AHP007TY 1234P 2017-2018-2019";"15/02/17";"17/08/17";"APPROUVÉ";"1";;;"2";;;"3";;;;;;
"00055506 ";"PASIRPI";"SIR";"[PIE] - fonction AHP008TY 1234P 2017-2018-2019";"15/02/17";"17/08/17";"APPROUVÉ";"1";;;"2";;;"3";;;;;;
"00026910 ";"PASURPRCH9";" ";"[DI001]-MEA de la FA DVK 009 - PNPP1628- 3C2017 DAM";"28/12/15";"31/08/17";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00035326 ";"PAIDSPRTRA";" ";"DI001 - MEA FA 03 RPMQ CPY VD2 ind2/VD3 ind1 1234P2017 DAM";"25/04/16";"31/08/17";"APPROUVÉ";"1";;;;;;"1";;;"3";"3";;
"00062183 ";"PAIDSPRTRA";" ";"DI001 - ANALYSE OPPORT REMPL MATER MQCA - 1234C2017 DAM";"04/05/17";"31/08/17";"APPROUVÉ";"1";;;"2";;;"3";;;;;;
"00064631 ";"PACHAPI";" ";"DI001- REX spécifique P2 SP9 RO PMRQ 16 0011 - 1234C2017 DAM";"02/06/17";"31/08/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00064636 ";"PAMECPI";" ";"DI001- MEA REX specif P1 SP9 EL PMRQ 17 0003 - 1234C2017 DAM";"02/06/17";"31/08/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00022548 ";"PASURPRCH9";" ";"[DI001]-MEA FA KRT034B-PNPP1483- KRT007MA- 1P2017-DAM";"17/08/15";"06/09/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00026372 ";"PASURPRCH6";" ";"DI001 - MEA DE L'INSTRUCTION ""PNPP1628"" - 3C2017 DAM";"14/12/15";"08/09/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00061731 ";"PASIRPI";"SIR";"[PIE] - fonction AHP606TY 1234P 2017-2018";"28/04/17";"08/09/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00065307 ";"PASIRPI";"SIR";"[PIE] - fonction AHP606TY 1234P 2017-2018-2019";"12/06/17";"08/09/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00013967 ";"PASURPRCH3";" ";"DI001 - Amendement STE modif PNPP1371 - 3P2017 DAM";"20/11/14";"09/09/17";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00058639 ";"PASIRPI";"SIR";"[PIE] - X SAP001-002 DS 1et 2 TR1-2-3-4 2016-2017";"20/03/17";"10/09/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00058100 ";"PASIRPI";"SIR";"[PIE] - fonction GPV072TY 1234P 2018-2019";"13/03/17";"15/09/17";"APPROUVÉ";"1";;;"2";;;"3";;;;;;
"00058105 ";"PASIRPI";"SIR";"[PIE] - fonction AHP600TY-1 1234P 2018-2019";"13/03/17";"15/09/17";"APPROUVÉ";"1";;;"2";;;"3";;;;;;
"00058113 ";"PASIRPI";"SIR";"[PIE] - fonction AHP600TY-2 24P 2018";"13/03/17";"15/09/17";"APPROUVÉ";"1";;;"1";;;"2";;;"1";"1";;
"00004980 ";"PASURPRCH9";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 3P2017-DAM";"19/12/13";"27/09/17";"APPROUVÉ";"1";;;"1";"1";;"3";;;;;;
"00059118 ";"PASIRPI";"SIR";"[PIE] - X GRV002-003 BA P TR1-2-3-4 2016-2017";"27/03/17";"27/09/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00059220 ";"PASIRPI";"SIR";"[PIE] - fonction SAP001 002BA 1234P 2017";"28/03/17";"28/09/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00058989 ";"PASURPRCH9";" ";"DI001- MEA FA REN 019 et NEC PNPPi632 - 3P2017 DAM";"24/03/17";"29/09/17";"APPROUVÉ";;;;;;"2";"2";;"1";;"1";;
"00004432 ";"PAIDSPRCOM";"AUT";"DI001 - PNM FA n°4 PBMP PB900RCV01 (1) PNPP1267 - 1P2017 DAM";"21/11/13";"01/10/17";"APPROUVÉ";;;;;"1";;"1";;;;;;
"00042754 ";"PAAUTPI";" ";"DI001 - MEA de la PNPP1548 et du REX - 3P2017 - DAM";"08/08/16";"01/10/17";"APPROUVÉ";;"1";;;;;"1";;;;;;
"00059730 ";"PASIRPI";"SIR";"[PIE] - fonction AHP009TY 1234P 2018-2019";"06/04/17";"06/10/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00059734 ";"PASIRPI";"SIR";"[PIE] - fonction AHP010TY 1234P 2018-2019";"06/04/17";"06/10/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00059737 ";"PASIRPI";"SIR";"[PIE] - fonction AHP612TY 1234P 2018-2019";"06/04/17";"06/10/17";"APPROUVÉ";"1";;;"1";;;"2";;;"1";"1";;
"00045290 ";"PASURPRCH6";" ";"DI001 - MEA ITS SURCHARGE DIESEL CPY - 3P2017 DAM";"14/09/16";"09/10/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00062120 ";"PASURPI";" ";"DI001 - MEA CORREC EXIGEE DI08 REX2016- 14AT23TEM2017 DAM";"04/05/17";"18/10/17";"APPROUVÉ";"3";;;"3";;;"6";;;"2";"2";;
"00061302 ";"PASIRPI";"SIR";"[PIE] - récipient SES001 002 EX 89 2017-2018";"21/04/17";"20/10/17";"APPROUVÉ";"1";;;"2";;;"3";;;;;;
"00061660 ";"PASIRPI";"SIR";"[PIE] - récipient 4GSY 101 102 201 202 301 302BA -2017";"27/04/17";"24/10/17";"APPROUVÉ";"1";;;;;;"1";;;"1";"1";;
"00026914 ";"PAIDSPRTRA";"EXP";"[DI001]-MEA de FA CA CPY 007 indice 0 - PNPP 1628-3C2017 DAM";"28/12/15";"31/10/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00022693 ";"PASURPRCH9";" ";"[DI001]- MAJ  CHAP9 LHP/Q044 PNPP1342 - 3P2017 - DAM";"20/08/15";"01/11/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00032130 ";"PAIDSPRCOM";"AUT";"DI001 - DP 276 IND2 Rempl. des alims BT - 1234P2016 DAM";"10/03/16";"01/11/17";"APPROUVÉ";;;;"2";;;"2";;;"2";"2";;
"00059013 ";"PAIDSPRTRA";" ";"DI001 - PLMP SEH ind.2 - 1234C2017 DAM";"24/03/17";"01/11/17";"APPROUVÉ";;;;;;"3";"3";;;;;;
"00059016 ";"PAIDSPRTRA";" ";"ARRET TRANSMISSION MESSAGE ALERTE PREVI G.FR - 1234C2017 DAM";"24/03/17";"01/11/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00056510 ";"PASURPRCH9";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-2C2017 DAM";"23/02/17";"12/11/17";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00064630 ";"PAIDSPRCOM";"CHA";"DI001- MEA de la DP 320 indice 0 - 1234C2017 DAM";"02/06/17";"15/11/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00064852 ";"PAIDSPRCOM";"ROB";"DI001 - PLMP COR/ERO ORGA ROB SOUD BI-METAL - 1234C2017 DAM";"07/06/17";"15/11/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00056518 ";"PASURPRCH6";" ";"DI001 - MEA INSTRUC TEMPOR SURETE PNPP1490 - 2C2017 DAM";"23/02/17";"17/11/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00063376 ";"PASIRPI";"SIR";"[PIE] - récipient 1JPT401BA 2017";"18/05/17";"20/11/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00062599 ";"PASIRPI";"SIR";"[PIE] - récipient GSS x00 ZZ C/F 1234P 2018-2019";"10/05/17";"22/11/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00063580 ";"PASIRPI";"SIR";"[PIE] - fonction GPV010TY 1234P 2018-2019";"22/05/17";"23/11/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00063584 ";"PASIRPI";"SIR";"[PIE] - fonction GPV017TY 1234P 2018-2019";"22/05/17";"23/11/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00063413 ";"PASIRPI";"SIR";"[PIE] - récipient SVA 060 VV B 89P 2018-2019";"24/05/17";"24/11/17";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00056514 ";"PASURPRCH9";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-4C2017 DAM";"23/02/17";"26/11/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00064759 ";"PAIDSPRTRA";" ";"DI001-ACT REP COUR ASN CODEP-DCN-2016-039999 - 1234C2017 DAM";"06/06/17";"30/11/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00015467 ";"PAIDSPRCOM";"ELE";"DI001 - DP321 ctl fixations clips - 3P2015-2017 DAM";"28/01/15";"01/12/17";"APPROUVÉ";;;;"1";;;"1";;;"3";"3";;
"00019145 ";"PASURPRCH9";" ";"DI001 - MEA de la FA RRI 034 C PNPP1371 - 3P2017 DAM";"21/05/15";"01/12/17";"APPROUVÉ";;;;;"1";"2";"3";;;;;;
"00028338 ";"PAIDSPRTRA";"EXP";"DI001 - MEA RPC DOATEX PNPP1150 - 1P2017 DAM";"28/01/16";"01/12/17";"APPROUVÉ";"1";;;"1";;;"2";;;;;;
"00028341 ";"PAIDSPRTRA";"EXP";"DI001 - MEA RPC DOATEX PNPP1150 - 3P2017 DAM";"28/01/16";"01/12/17";"APPROUVÉ";"1";;;"1";;;"2";;;;;;
"00030477 ";"PAIDSPRCOM";"AUT";"PLMP - Capteurs DI61 indice B - 1234C2017 DAM";"11/02/16";"01/12/17";"APPROUVÉ";;;;;"1";;"1";;;"2";"2";;
"00056521 ";"PASURPRCH6";" ";"DI001 - MEA INSTRUC TEMPOR SURETE PNPP1490 - 4C2017 DAM";"23/02/17";"01/12/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00065700 ";"PAFARPI";" ";"DI001- MEA DA SUIV DOSI EQ CRISE LOC TPAL - 1234C2017 DAM";"15/06/17";"01/12/17";"NOTIFIÉ";;;;;;"2";"2";;;;;;
"00065701 ";"PAFARPI";" ";"DI001- MEA DA ""3D/3P PRIMAIRE FERME"" TPAL - 1234C2017 DAM";"15/06/17";"01/12/17";"NOTIFIÉ";;;;;;"2";"2";;;;;;
"00063433 ";"PASIRPI";"SIR";"[PIE] - récipient TEP 00X EX 1234P 2018-2019";"19/05/17";"07/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00065044 ";"PASIRPI";"SIR";"[PIE] - récipient LHP/LHQ 001-002 ZE B 1234P 2018-2019";"08/06/17";"08/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00065496 ";"PASIRPI";"SIR";"[PIE] - récipient AHP 601-602 RE C/F 1234P 2018-2019";"13/06/17";"14/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00065555 ";"PASIRPI";"SIR";"[PIE] - fonction ABP055TY 1234P 2018-2019";"14/06/17";"14/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00065558 ";"PASIRPI";"SIR";"[PIE] - fonction GPV100TY 1234P 2018-2019";"14/06/17";"14/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00056517 ";"PASURPRCH6";" ";"DI001 - MEA INSTRUC TEMPOR SURETE PNPP1490 - 1C2017 DAM";"23/02/17";"15/12/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00065675 ";"PASIRPI";"SIR";"[PIE] - récipient STR002BAB 1234P 2018-2019";"15/06/17";"15/12/17";"NOUVEAU";;;;;;"2";"2";;;;;;
"00065686 ";"PAIDSPRCOM";"ROB";"DI001 - PLMP ROB SUBSTANCES DANGEREUSES - 1234C2017 DAM";"15/06/17";"15/12/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00065785 ";"PASIRPI";"SIR";"[PIE] - récipient AHP 501-502 RE C/F 1234P 2018-2019";"15/06/17";"16/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00065987 ";"PASIRPI";"SIR";"[PIE] - récipient SAT001BAB Tr1234 P/TEM 2017-2018";"19/06/17";"19/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00066032 ";"PASIRPI";"SIR";"[PIE] - récipient ASG001DZ-C/F Tr8-9 P/TEM 2017-2018";"19/06/17";"19/12/17";"APPROUVÉ";;;;"3";"1";;"4";;;;;;
"00066069 ";"PASIRPI";"SIR";"[PIE] - récipient SEP003-004BAB Tr0 P/TEM 2017-2018";"19/06/17";"19/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00006844 ";"PASURPRCH9";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"31/12/17";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00006845 ";"PASURPRCH9";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"31/12/17";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00009881 ";"PAAUTPI";" ";"DI001-DP205 ind.7 Actions de réduction des AAR-1234C2017 DAM";"04/08/14";"31/12/17";"APPROUVÉ";"1";;;;;;"1";;;"4";"4";;
"00011196 ";"PAIDSPRTRA";"ENV";"DI001 - DT 350 indice 1 - 1234C2017 DAM";"25/09/14";"31/12/17";"APPROUVÉ";"3";;;"2";"1";;"6";;;"2";"2";;
"00016164 ";"PACHAPI";"CHA";"DI001 - FA 4 PBMP AM-150-01 indice 0 - 1234C2017 DAM";"26/02/15";"31/12/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00019494 ";"PAPJTPI";" ";"DI001 - DT396 (1) Management du Pluriannuel - 1234C2017 DAM";"04/06/15";"31/12/17";"NOTIFIÉ";;;;;;"2";"2";;;;;;
"00021093 ";"PAEXPPI";" ";"DI001-CSE RSE FA ASG-123C2017 DAM";"08/07/15";"31/12/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00021134 ";"PAIDSPRCOM";"ELE";"DI001-DP273 cables 6.6kV1234P2017- DAM";"09/07/15";"31/12/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00022538 ";"PAIDSPRTRA";" ";"DI001 - DP327 ind0:Examen conformité VD4 900 - 1234C2016 DAM";"17/08/15";"31/12/17";"APPROUVÉ";;;;;;;;;;"1";"1";;
"00025192 ";"PASURPRCH3";" ";"DI001-MEA PNPP1628 ""CASEMATAGE EVENT BACHE PTR"" - 3C2017 DAM";"04/11/15";"31/12/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00039070 ";"PALABPI";" ";"DI001-MEA R.E. NON RGE DE LA MESURE CATIONS- 1234C2017 DAM";"16/06/16";"31/12/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00039988 ";"PAIDSPRCOM";"CHA";"DEROGATION : D455016021239 [0] [DP330] - 1234C2017 DAM";"30/06/16";"31/12/17";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00039989 ";"PAIDSPRTRA";"ENV";"DI001 - MEA LISTE GENERIQUE EIPI CNPE - 1234C2016 DAM";"30/06/16";"31/12/17";"APPROUVÉ";"1";;;;;;"1";;;"1";"1";;
"00044112 ";"PAIPEPI";" ";"DI001-MEA MAINT PREVENT. BAT PRODUC NON EIPS-IPCTEM2018 DAM";"29/08/16";"31/12/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00047067 ";"PAIDSPRSYS";"VCL";"DI001 - MEA de PB900DVK0100FA01 - 3C2017 DAM";"10/10/16";"31/12/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00051202 ";"PAIDSPRTRA";" ";"DI001 - DP331 - FREINAGE VISSERIE MAT EIP - 13P17-24P18 DAM";"15/12/16";"31/12/17";"APPROUVÉ";;;;"4";;;"4";;;;;;
"00055251 ";"PAIDSPRCOM";"ELE";"DI001 - MEA FA01 AP913 1 ET 2 IND 3 - 1234C2017 DAM";"13/02/17";"31/12/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00056494 ";"PAAUTPI";" ";"DI001 - PROJET PSAD AVANC ACTIONS VALIDEES - 1234C2017 DAM";"23/02/17";"31/12/17";"APPROUVÉ";;;;;"1";;"1";;;;;;
"00056509 ";"PASURPRCH9";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-1C2017 DAM";"23/02/17";"31/12/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00059002 ";"PASURPRCH9";" ";"DI001-MEA FA EPP 029 INDICE C - IPCTEM2018 DAM";"24/03/17";"31/12/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00059006 ";"PAIDSPRTRA";" ";"DI001-MEA REGLES GENE SURV ENT PNPPi675 TPAL - 1234C2017 DAM";"24/03/17";"31/12/17";"APPROUVÉ";;;;"1";;"3";"4";;;;;;
"00059009 ";"PASURPRCH9";" ";"DI001 - MEA FA RCV 042 INDICE C PALIER CPY - 1234C2017 DAM";"24/03/17";"31/12/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00060092 ";"PAIDSPRCOM";"CHA";"DI001-MEA STRA SURVEI CORROSION  EROSION CSP - 1234C2017 DAM";"06/04/17";"31/12/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00061404 ";"PAIDSPRCOM";"CHA";"DI001- MEA STRA MAINT. COLM./ENCR. GV TPAL - 1234C2017 DAM";"24/04/17";"31/12/17";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00061405 ";"PACHAPI";" ";"DI001- MEA gammes mutual suite REX d'exploit - 1234C2017 DAM";"24/04/17";"31/12/17";"APPROUVÉ";;;;"1";;"1";"2";;;;;;
"00061407 ";"PASPRPI";" ";"DI001-MEA RPRS RES. EAU CHAUDE-LEGIONEL. TPAL-1234C2017 DAM";"24/04/17";"31/12/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00062105 ";"PASURPRCH9";" ";"DI001- MEA FA KPS 011 IND B CPY CP0 - IPCTEM2018 DAM";"04/05/17";"31/12/17";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00062193 ";"PAIDSPRCOM";"CHA";"DI001-MEA PROG PLU ZONE INCO CPP2017-2019 TPAL-1234C2017 DAM";"04/05/17";"31/12/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00063277 ";"PAIDSPRCOM";"ELE";"DI001- MEA REX specifi P1 SP9 EL PMRQ17 0002 - 1234C2017 DAM";"18/05/17";"31/12/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00063280 ";"PASPRPI";" ";"DI001-MEA REGLE PREV RISQUES AMIANTE DPN - 1234C2017 DAM";"18/05/17";"31/12/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00063284 ";"PACHAPI";" ";"DI001- MEA de la FA01 au PB900AM450-01 ind 3 - 1234C2017 DAM";"18/05/17";"31/12/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00063295 ";"PASPRPI";" ";"DI001-MEA REF RADIOPRO CHAPITRE 5 TPAL - 1234C2017 DAM";"18/05/17";"31/12/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00063297 ";"PALABPI";" ";"DI001-MEA REG ESSAI NON RGE MES POTAS HYDRA - 1234C2017 DAM";"18/05/17";"31/12/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00063333 ";"PACHAPI";" ";"DI001- REX spécifique P2 DED GRA DSI 16 0002 - 1234C2017 DAM";"18/05/17";"31/12/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00064607 ";"PALABPI";" ";"DI001- MEA RE non RGE MES CATIONS CHROM TPAL-1234C2017 DAM";"02/06/17";"31/12/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00064609 ";"PAEXPPI";" ";"DI001- MEA FP GPSI D455016009806 + REX CL4-1234C2017 DAM";"02/06/17";"31/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00064611 ";"PACHAPI";" ";"DI001- REX P2 spécifique TRI CH DMO 16 0011-1234C2017 DAM";"02/06/17";"31/12/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00064619 ";"PAIDSPRCOM";"ELE";"DEROGATION : D455017009282-1234C2017 DAM";"02/06/17";"31/12/17";"APPROUVÉ";;;;;;"1";"1";;;"1";"1";;
"00064627 ";"PAEXPPI";" ";"DI001- REX spécifique P2 SP9 CH OTM 17 0003 1234C2017 DAM";"02/06/17";"31/12/17";"APPROUVÉ";;;;"2";;;"2";;;"1";"1";;
"00065689 ";"PAEXPPI";" ";"DI001 - MEA GAMMES MUTUAL SUITE REX EXP - 1234C2017 DAM";"15/06/17";"31/12/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00065693 ";"PALNUPI";" ";"DI001 - MHA REF REFONTE SUPP DIREC DI044/001 - 1234C2017 DAM";"15/06/17";"31/12/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00065710 ";"PAEXPPI";" ";"DI001-MEA EP LHT-1ère mutual - FA LHT023 - 1234C2017 DAM";"15/06/17";"31/12/17";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00039995 ";"PASURPRCH6";" ";"DI001 - MEA DU DA REF H3 - 1234C2018 DAM";"30/06/16";"01/03/18";"APPROUVÉ";;;;;;;;;;"1";"1";;
"00042726 ";"PASURPRCH9";" ";"DI001 - MEA CPY FA ASG 066 ET FA ASSOCIEES - 1234C2017 DAM";"08/08/16";"01/03/18";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00062211 ";"PACHAPI";" ";"DI001- MEA de Réglement ESPN EH Tuyaut EAS - 1234C2017 DAM";"05/05/17";"01/03/18";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00058991 ";"PASURPRCH9";" ";"DI001- MEA FA REN 019 et NEC PNPPi632 - 2P2018 DAM";"24/03/17";"31/03/18";"APPROUVÉ";;;;;;"2";"2";;"1";;"1";;
"00062101 ";"PASURPI";" ";"DI001 - MEA NOUV IND GUIDE METHOD DANS CNPE - 1234C2017 DAM";"04/05/17";"12/04/18";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00013558 ";"PASURPRCH9";" ";"Mise en application déclinant la PNXX 1738- 4P2018 - DAM";"04/11/14";"28/05/18";"APPROUVÉ";"2";;;"1";;;"3";;;;;;
"00026911 ";"PASURPRCH9";" ";"[DI001]-MEA de la FA DVK 009 - PNPP1628- 4C2018 DAM";"28/12/15";"01/06/18";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00026915 ";"PAIDSPRTRA";"EXP";"[DI001]-MEA de FA CA CPY 007 indice 0 - PNPP 1628-4C2018 DAM";"28/12/15";"01/06/18";"APPROUVÉ";"1";;;"1";;;"2";;;;;;
"00031374 ";"PAEXPPI";" ";"DI001-MEA EPCRPR012 PNPP1226-Modif voie A 2P2018 - DAM";"26/02/16";"01/06/18";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00006643 ";"PAAUTPI";" ";"DI001-DP205 ind6 pose/dépose des shunts RPN uniquement-DAM";"11/02/14";"09/06/18";"APPROUVÉ";"2";;;;;;"2";;;"2";"2";;
"00056611 ";"PAIDSPRCOM";"CHA";"DI001 - MAINTEN PREVENT ANCRAGES CHEVILLES - 1234P2017 DAM";"24/02/17";"09/06/18";"APPROUVÉ";;;;"4";;;"4";;;"4";"4";;
"00058993 ";"PASURPRCH9";" ";"DI001- MEA FA REN 019 et NEC PNPPi632 - 4P2018 DAM";"24/03/17";"09/06/18";"APPROUVÉ";;;;;;"2";"2";;"1";;"1";;
"00013557 ";"PASURPRCH9";" ";"Mise en application déclinant la PNXX 1738- 2P2018- DAM";"04/11/14";"30/06/18";"APPROUVÉ";;;;;"1";"1";"2";;;"1";"1";;
"00026373 ";"PASURPRCH6";" ";"DI001 - MEA DE L'INSTRUCTION ""PNPP1628"" - 4C2018 DAM";"14/12/15";"30/06/18";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00026376 ";"PAIDSPRSYS";" ";"DI001 - DP 328 IND0 ""DDG PTR"" - 1234C2015 DAM";"14/12/15";"30/06/18";"APPROUVÉ";;;;;;"4";"4";;;"1";"1";;
"00039071 ";"PALABPI";" ";"DI001-MEA R.E. NON RGE DE LA MES. EFFLT ET ENV-1234C2018 DAM";"16/06/16";"30/06/18";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00051226 ";"PAIDSPRCOM";"CHA";"DI001 - DP320-MEA CTRL TV RECH FISSURAT-13P2017-24P2018 DAM";"15/12/16";"15/08/18";"APPROUVÉ";;;;;;;;;;"4";"4";;
"00031376 ";"PAEXPPI";" ";"DI001-MEA des EPCRPR011/EPCRPR012 pour PNPP1226-4P2018 DAM";"26/02/16";"30/08/18";"APPROUVÉ";;;;"1";;;"1";;;"3";"3";;
"00036187 ";"PAIDSPRCOM";"AUT";"DEROGATION : D455016010828 - 1234P2018 DAM";"09/05/16";"01/10/18";"APPROUVÉ";"4";;;;;;"4";;;;;;
"00042755 ";"PAAUTPI";" ";"DI001 - MEA de la PNPP1548 et du REX - 4P2018 - DAM";"08/08/16";"01/10/18";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00028357 ";"PAIDSPRCOM";"MEC";"DEROGATION : D455016001144 - 1234P2016 DAM";"28/01/16";"01/11/18";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00015465 ";"PAIDSPRCOM";"ELE";"DI001 - DP321 ctl fixations clips - 2P2016-2018 DAM";"28/01/15";"01/12/18";"APPROUVÉ";;;;"1";;;"1";;;"3";"3";;
"00015466 ";"PAIDSPRCOM";"ELE";"DI001 - DP321 ctl fixations clips - 4P2016-2018 DAM";"28/01/15";"01/12/18";"APPROUVÉ";;;;"1";;;"1";;;"3";"3";;
