
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Créateur";"Créateur/Groupe";"Site responsable plan d'actions";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"Statut actuel.Date modif statut";
"00028378 ";"DOCN";" ";"DI001-PB900 AM-130-02 indice 2  1234P2017- DAM";"28/01/16";"30/06/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIPEPI";;;;"APPROUVÉ";"08/11/16";
"00030477 ";"DOCN";"AUT";"PLMP - Capteurs DI61 indice B - 1234C2017 DAM";"11/02/16";"01/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"11/02/16";
"00030591 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°196 à 199 JANVIER 2016";"15/02/16";"30/04/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"15/02/16";
"00031362 ";"DOCN";" ";"DI001-MEA des EPCRPR011/EPCRPR012 pour PNPP1226-1P2019 DAM";"26/02/16";"15/06/19";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAEXPPI";;;;"NOTIFIÉ";"29/02/16";
"00031363 ";"DOCN";" ";"DI001-MEA REX 2015 refonte objets SDIN COMBUST 1234P2016 DAM";"26/02/16";"30/09/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PALNUPI";;;;"APPROUVÉ";"02/03/16";
"00031374 ";"DOCN";" ";"DI001-MEA EPCRPR012 PNPP1226-Modif voie A 2P2018 - DAM";"26/02/16";"01/06/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAEXPPI";;;;"APPROUVÉ";"26/08/16";
"00031375 ";"DOCN";" ";"DI001-MEA des EPCRPR011/EPCRPR012 pour PNPP1226-3P2019 DAM";"26/02/16";"15/06/19";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAEXPPI";;;;"NOTIFIÉ";"29/02/16";
"00031376 ";"DOCN";" ";"DI001-MEA des EPCRPR011/EPCRPR012 pour PNPP1226-4P2018 DAM";"26/02/16";"30/08/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAEXPPI";;;;"APPROUVÉ";"23/06/16";
"00032130 ";"DOCN";"AUT";"DI001 - DP 276 IND2 Rempl. des alims BT - 1234P2016 DAM";"10/03/16";"01/11/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"10/03/16";
"00032341 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°200 à 203 FEVRIER 2016";"14/03/16";"31/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"14/03/16";
"00032981 ";"DOCN";" ";"DI001-MHA REGLES PREV RISQUES INCENDIE - 1234C2017 DAM";"24/03/16";"01/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASPRPI";;;;"APPROUVÉ";"25/03/16";
"00032982 ";"DOCN";" ";"DI001-MHA DES SPECIFICAT° CHIMIQUES TS PALIERS-1234C2017 DAM";"24/03/16";"01/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PALABPI";;;;"APPROUVÉ";"20/05/16";
"00032983 ";"DOCN";" ";"DI001 - MHA SPECIFICATIONS RADIO-CHIMIQUES-1234C2017 DAM";"24/03/16";"01/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PALABPI";;;;"APPROUVÉ";"09/09/16";
"00032994 ";"DOCN";" ";"DI001-REX P1 juil 2015-création EPA RRI 471/472- 1P2017 DAM";"24/03/16";"01/08/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAAUTPI";;;;"APPROUVÉ";"01/04/16";
"00034465 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°204 à 206 MARS 2016";"12/04/16";"30/06/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"13/04/16";
"00035314 ";"DOCN";"AUT";"DEROGATION : D455016012065 - 1234C2016 DAM";"25/04/16";"01/09/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"26/04/16";
"00035318 ";"DOCN";" ";"DI001 - MEA DI001 ind 2 - 1234C2016 DAM";"25/04/16";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"25/04/16";
"00035326 ";"DOCN";" ";"DI001 - MEA FA 03 RPMQ CPY VD2 ind2/VD3 ind1 1234P2017 DAM";"25/04/16";"31/08/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"26/04/16";
"00035333 ";"DOCN";"CHA";"DI001 - MEA ARRETE 12/12/2005 RELATIF ESPN - 1234C2016 DAM";"25/04/16";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PACHAPI";;;;"NOTIFIÉ";"25/04/16";
"00036180 ";"DOCN";" ";"DI001 - MHA SPECIFICIATION TECHNIQUE D'EXPL - 1234C2016 DAM";"09/05/16";"01/11/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"09/05/16";
"00036187 ";"DOCN";"AUT";"DEROGATION : D455016010828 - 1234P2018 DAM";"09/05/16";"01/10/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"09/05/16";
"00036356 ";"DOCN";"SIR";"[PIE] - fonction AHP600TY-2 1234P 2017-2018";"10/05/16";"11/11/16";" ";"MAUGUEN Corentin (CM32CB3N)";"MAUGUEN Corentin (CM32CB3N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"11/05/16";
"00036715 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°207 à 211 AVRIL 2016";"17/05/16";"31/07/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"17/05/16";
"00036934 ";"DOCN";"CHA";"DI001 - MEA RNM TPAL AM 450-09 IND 2 - 1234P2018 DAM";"20/05/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"20/12/16";
"00037853 ";"DOCN";" ";"DI001 - MEA DE L'ITS ACCIDENT GRAVE CPY - 1234C2018 DAM";"02/06/16";"01/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"28/06/16";
"00037877 ";"DOCN";"ROB";"DI001 - MEA de la DP 309 indice 2- 1234P2018 DAM";"02/06/16";"01/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"06/06/16";
"00037879 ";"DOCN";" ";"DI001 - MEA de la PNPP1345A - 1234P2017 - DAM";"02/06/16";"01/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAMECPI";;;;"APPROUVÉ";"22/09/16";
"00039012 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°212 à 214 MAI 2016";"15/06/16";"31/08/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"17/06/16";
"00039070 ";"DOCN";" ";"DI001-MEA R.E. NON RGE DE LA MESURE CATIONS- 1234C2017 DAM";"16/06/16";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PALABPI";;;;"APPROUVÉ";"09/09/16";
"00039071 ";"DOCN";" ";"DI001-MEA R.E. NON RGE DE LA MES. EFFLT ET ENV-1234C2018 DAM";"16/06/16";"30/06/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PALABPI";;;;"APPROUVÉ";"09/09/16";
"00039085 ";"DOCN";"CHA";"PLMP-SUIVI CORROS°/EROS° LIGN NON MODELISE BRT-1234C2018 DAM";"16/06/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"16/06/16";
"00039971 ";"DOCN";" ";"DI001 - MEA GUIDE MANAGEMENT 996 - 1234C2017 DAM";"30/06/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAINFPI";;;;"APPROUVÉ";"12/06/17";
"00039975 ";"DOCN";" ";"DI001 -MEA GUIDE 796:MAITRISE QUAL MAINT EXPL-1234C2017 DAM";"30/06/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAPJTPI";;;;"NOTIFIÉ";"30/06/16";
"00039988 ";"DOCN";"CHA";"DEROGATION : D455016021239 [0] [DP330] - 1234C2017 DAM";"30/06/16";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"01/07/16";
"00039989 ";"DOCN";"ENV";"DI001 - MEA LISTE GENERIQUE EIPI CNPE - 1234C2016 DAM";"30/06/16";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"01/07/16";
"00039995 ";"DOCN";" ";"DI001 - MEA DU DA REF H3 - 1234C2018 DAM";"30/06/16";"01/03/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"10/10/16";
"00040173 ";"DOCN";"SIR";"[PIE] - fonction APP603TY 1234P 2017-2018";"06/07/16";"06/01/17";" ";"MAUGUEN Corentin (CM32CB3N)";"MAUGUEN Corentin (CM32CB3N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"06/07/16";
"00040181 ";"DOCN";"SIR";"[PIE] - fonction APP604TY-A 1234P 2017-2018";"06/07/16";"06/01/17";" ";"MAUGUEN Corentin (CM32CB3N)";"MAUGUEN Corentin (CM32CB3N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"06/07/16";
"00041134 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°215 à 219 JUIN 2016";"18/07/16";"30/09/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"18/07/16";
"00042696 ";"DOCN";"GCV";"DI001 - MEA PBMP REFREGERANTS ATMOSPHERIQUE - 1234C2016 DAM";"08/08/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIPEPI";;;;"APPROUVÉ";"19/12/16";
"00042706 ";"DOCN";"IDS";"DI001 - MEA STRATEGIE DE MAINT D455016008492 - 1234C2017 DAM";"08/08/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPI";;;;"APPROUVÉ";"17/08/16";
"00042724 ";"DOCN";" ";"DI001 - MEA DOCTRINE DE MAINT SYST CTE - 1234C2017 DAM";"08/08/16";"31/05/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRSYS";;;;"APPROUVÉ";"09/08/16";
"00042726 ";"DOCN";" ";"DI001 - MEA CPY FA ASG 066 ET FA ASSOCIEES - 1234C2017 DAM";"08/08/16";"01/03/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"09/08/16";
"00042754 ";"DOCN";" ";"DI001 - MEA de la PNPP1548 et du REX - 3P2017 - DAM";"08/08/16";"01/10/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAAUTPI";;;;"APPROUVÉ";"19/08/16";
"00042755 ";"DOCN";" ";"DI001 - MEA de la PNPP1548 et du REX - 4P2018 - DAM";"08/08/16";"01/10/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAAUTPI";;;;"APPROUVÉ";"19/08/16";
"00043448 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°220 à 223 JUILLET 2016";"18/08/16";"31/10/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"18/08/16";
"00044102 ";"DOCN";" ";"DI001 - MHA BASE MAINTENANCE PREVENTIVE - 1234C2017 DAM";"29/08/16";"31/03/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"19/09/16";
"00044112 ";"DOCN";" ";"DI001-MEA MAINT PREVENT. BAT PRODUC NON EIPS-IPCTEM2018 DAM";"29/08/16";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIPEPI";;;;"APPROUVÉ";"19/05/17";
"00044135 ";"DOCN";"IDS";"DEROGATION : D455016034405 - 1234C2016 DAM";"29/08/16";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPI";;;;"APPROUVÉ";"19/09/16";
"00045238 ";"DOCN";"SIR";"[PIE] - récipients VVP010/020/030/274BA 1234P 2017-2018";"13/09/16";"14/03/17";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"14/09/16";
"00045284 ";"DOCN";" ";"DI001 - MEA REFERENTIEL INCENDIE - 1234C2017 DAM";"14/09/16";"31/03/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASPRPI";;;;"APPROUVÉ";"16/09/16";
"00045286 ";"DOCN";" ";"DI001 - MEA ITS SURCHARGE DIESEL CPY - 1P2017 DAM";"14/09/16";"01/08/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"10/10/16";
"00045290 ";"DOCN";" ";"DI001 - MEA ITS SURCHARGE DIESEL CPY - 3P2017 DAM";"14/09/16";"09/10/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"10/10/16";
"00045300 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°224 à 227 AOUT 2016";"14/09/16";"30/11/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"16/09/16";
"00045434 ";"DOCN";"SIR";"[PIE] - récipients GSSx00ZZ-C 24P 2018";"16/09/16";"20/03/17";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"20/09/16";
"00046236 ";"DOCN";" ";"DI001 - MEA GUIDE 696 - 1234C2017 DAM";"26/09/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PADIRPI";;;;"NOTIFIÉ";"27/09/16";
"00046259 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°228 à 229 SEPTEMBRE 2016";"26/09/16";"30/11/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"27/09/16";
"00046262 ";"DOCN";" ";"DI001 - MEA PROGR BASE MAINT PREVENT SDM - 1234C2017 DAM";"26/09/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIPEPI";;;;"APPROUVÉ";"16/01/17";
"00047047 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°230 à 231 2016";"10/10/16";"22/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"10/10/16";
"00047067 ";"DOCN";"VCL";"DI001 - MEA de PB900DVK0100FA01 - 3C2017 DAM";"10/10/16";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRSYS";;;;"APPROUVÉ";"10/10/16";
"00047087 ";"DOCN";"VCL";"DI001 - MEA de PB900DVK0100FA01 - 4C2018 DAM";"10/10/16";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRSYS";;;;"APPROUVÉ";"10/10/16";
"00047499 ";"DOCN";"SIR";"[PIE] - fonction GCT606TY-B 1234P 2017-2018";"17/10/16";"18/04/17";" ";"MAUGUEN Corentin (CM32CB3N)";"MAUGUEN Corentin (CM32CB3N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"18/10/16";
"00047790 ";"DOCN";"ENV";"DI001 - MEA REGLE ENVIRON ETIQUET SUBST DANG - 1234C2017 DAM";"19/10/16";"01/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"21/10/16";
"00047824 ";"DOCN";" ";"DI001 - MEA PP58 SEANCE D ACCUEIL PRESTA - 1234C2017 DAM";"19/10/16";"16/03/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASPRPI";;;;"APPROUVÉ";"16/03/17";
"00047858 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°232 à 233 OCTO 2016";"20/10/16";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"21/10/16";
"00047867 ";"DOCN";" ";"DI001 - MEA GUIDE MANAGEMENT 102 - 1234C2016 DAM";"20/10/16";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAMAGPRDOC";;;;"APPROUVÉ";"04/11/16";
"00047961 ";"DOCN";" ";"DI001 - MEA GAM MUTUALIS SUITE REX EXP - 1234C2016 DAM";"21/10/16";"31/01/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAAUTPI";;;;"APPROUVÉ";"30/01/17";
"00048710 ";"DOCN";"CHA";"DI001 - REQUALIF. PERIODIQUE SOUPAPES SEBIM - 1234P2017 DAM";"03/11/16";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"07/11/16";
"00048714 ";"DOCN";"IDS";"REX HIVER 2012 FROID INTENSE - 1234C2016 DAM";"03/11/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPI";;;;"APPROUVÉ";"07/11/16";
"00048725 ";"DOCN";" ";"DI001 - REX sur les soupapes SEBIM RRA-RCV - 1234C2016 DAM";"03/11/16";"31/03/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PACHAPI";;;;"NOTIFIÉ";"04/11/16";
"00048729 ";"DOCN";"IDS";"DI001 - MEA de PB900 AP913-01&02 ind 3 - 1234P2018 DAM";"03/11/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPI";;;;"APPROUVÉ";"17/11/16";
"00048748 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°234 à 235 NOV 2016";"03/11/16";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"04/11/16";
"00048888 ";"DOCN";"SIR";"[PIE] - récipients SAR (hors EIP) toutes tr P/TEM 2017-2018";"08/11/16";"18/05/17";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"18/11/16";
"00049638 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°236 à 237 NOV 2016";"22/11/16";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"22/11/16";
"00050505 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°238 à 239 DEC 2016";"02/12/16";"31/01/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"02/12/16";
"00050507 ";"DOCN";" ";"DI001- MEA de DA STE RPR IPCTEM2017 DAM";"02/12/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"09/01/17";
"00050916 ";"DOCN";"SIR";"[PIE] - récipient GHE001DZ 1234P 2017-2018";"09/12/16";"28/06/17";" ";"PREVOSTO Beatrice (D27677)";"PREVOSTO Beatrice (D27677)";"DAM";"PASIRPI";;;;"APPROUVÉ";"28/12/16";
"00051201 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°240 à 241 DEC 2016";"15/12/16";"05/02/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"16/12/16";
"00051202 ";"DOCN";" ";"DI001 - DP331 - FREINAGE VISSERIE MAT EIP - 13P17-24P18 DAM";"15/12/16";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"19/12/16";
"00051226 ";"DOCN";"CHA";"DI001 - DP320-MEA CTRL TV RECH FISSURAT-13P2017-24P2018 DAM";"15/12/16";"15/08/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"19/12/16";
"00051231 ";"DOCN";"ROB";"DI001 - ROB/CLAP ISOL TUY CANAL REJET ENVIRO - 1234C2016 DAM";"15/12/16";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"10/01/17";
"00051366 ";"DOCN";"SIR";"[PIE] - récipient X STR 001 TX C et F 1234P 2016-2017";"19/12/16";"30/05/17";" ";"PRACCA Jean Pierre (A26115)";"PRACCA Jean Pierre (A26115)";"DAM";"PASIRPI";;;;"APPROUVÉ";"20/12/16";
"00051458 ";"DOCN";"CHA";"DI001 - MEA PB900 AM450 08 ind.0 - PBMP Ancrage - Local DAM";"21/12/16";"06/01/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/01/17";
"00052533 ";"DOCN";" ";"DI001 - MEA REPR PUISS NULLE CHAP X RGE - 1234C2017 DAM";"05/01/17";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH1";;;;"NOTIFIÉ";"06/01/17";
"00052549 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°242 à 244 JANV 2017";"05/01/17";"16/02/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"05/01/17";
"00053027 ";"DOCN";"SIR";"[PIE] - récipient AGR-GFR-GGR 1234P 2017-2018-2019";"12/01/17";"16/07/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"16/01/17";
"00053215 ";"DOCN";"SIR";"[PIE] - récipient ABP 40X RE C/F 1234P 2017-2018-2019";"13/01/17";"16/07/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"16/01/17";
"00054022 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°245 à 247 JAN 2017";"27/01/17";"16/03/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"27/01/17";
"00054171 ";"DOCN";"SIR";"[PIE] - récipient GSS x01 BA 1234P 2017-2018-2019";"30/01/17";"31/07/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"31/01/17";
"00054219 ";"DOCN";"SIR";"[PIE] - fonction ABP060TY 1234P 2017-2018-2019";"30/01/17";"02/08/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"02/02/17";
"00054231 ";"DOCN";"SIR";"[PIE] - fonction ABP061TY 1234P 2017-2018-2019";"30/01/17";"02/08/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"02/02/17";
"00054239 ";"DOCN";"SIR";"[PIE] - fonction GCT606TY-B 2P 2018";"30/01/17";"01/08/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"01/02/17";
"00055248 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°248 & 249 FEV 2017";"13/02/17";"16/03/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"13/02/17";
"00055251 ";"DOCN";"ELE";"DI001 - MEA FA01 AP913 1 ET 2 IND 3 - 1234C2017 DAM";"13/02/17";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"14/02/17";
"00055258 ";"DOCN";"ELE";"DEROGATION : D455016081777 - 1234C2016 DAM";"13/02/17";"10/05/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"14/02/17";
"00055266 ";"DOCN";"AUT";"DI001 -AFT16.06 RGL COMMANDITE CTRL CABLE PAC - 2P2018 DAM";"13/02/17";"31/08/19";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"14/02/17";
"00055279 ";"DOCN";" ";"DI001-MEA DA SI COLLAB FAS PUI ET PAM TPAL 1234C2016 DAM";"13/02/17";"03/04/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCRI";;;;"APPROUVÉ";"08/03/17";
"00055287 ";"DOCN";"CHA";"DI001-PREDIFF PBMP PB MAT TPAL AM450-01 IND 0- 2P2018 DAM";"13/02/17";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"14/02/17";
"00055496 ";"DOCN";"SIR";"[PIE] - fonction AHP003TY 1234P 2017-2018-2019";"15/02/17";"17/08/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"17/02/17";
"00055501 ";"DOCN";"SIR";"[PIE] - fonction AHP004TY 1234P 2017-2018-2019";"15/02/17";"17/08/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"17/02/17";
"00055505 ";"DOCN";"SIR";"[PIE] - fonction AHP007TY 1234P 2017-2018-2019";"15/02/17";"17/08/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"17/02/17";
"00055506 ";"DOCN";"SIR";"[PIE] - fonction AHP008TY 1234P 2017-2018-2019";"15/02/17";"17/08/17";" ";"ROUET Nicolas (NR07083S)";"ROUET Nicolas (NR07083S)";"DAM";"PASIRPI";;;;"APPROUVÉ";"17/02/17";
"00056463 ";"DOCN";" ";"DEROG-DEROGATION";"22/02/17";;" ";;;"DAM";;"MTE PREPARATION";"CHABALIER";;"NOUVEAU";"22/02/17";
"00056494 ";"DOCN";" ";"DI001 - PROJET PSAD AVANC ACTIONS VALIDEES - 1234C2017 DAM";"23/02/17";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAAUTPI";;;;"APPROUVÉ";"27/02/17";
"00056502 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°250 à 251 FEV 2017";"23/02/17";"13/04/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"24/02/17";
"00056509 ";"DOCN";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-1C2017 DAM";"23/02/17";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"24/02/17";
"00056510 ";"DOCN";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-2C2017 DAM";"23/02/17";"12/11/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"24/02/17";
"00056512 ";"DOCN";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-3C2017 DAM";"23/02/17";"31/05/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"24/02/17";
