
"N° PA";"Type PA";"Spéc";"Libellé du PA";"Site";"Grp Resp";"Ech. PA";"Statut";"Date";;"A";"D";"I";"S";
"00049638 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°236 à 237 NOV 2016";"DAM";"PAIDSILD";"31/12/16";"APPROUVÉ";"22/11/16";;;"1";;;
"00048888 ";"DOCN";"SIR";"[PIE] - récipients SAR (hors EIP) toutes tr P/TEM 2017-2018";"DAM";"PASIRPI";"18/05/17";"APPROUVÉ";"18/11/16";;;"1";;;
"00004966 ";"DOCN";"CHA";"[DI001]-MEA du PB450 12 ind 0-Ancrages IPS 1234C2013-DAM";"DAM";"PAIDSPRCOM";"01/01/17";"APPROUVÉ";"17/11/16";;;"1";;"1";
"00048729 ";"DOCN";"IDS";"DI001 - MEA de PB900 AP913-01&02 ind 3 - 1234P2018 DAM";"DAM";"PAIDSPI";"30/06/17";"APPROUVÉ";"17/11/16";;;"1";;;
"00028378 ";"DOCN";" ";"DI001-PB900 AM-130-02 indice 2  1234P2017- DAM";"DAM";"PAIPEPI";"30/06/16";"APPROUVÉ";"08/11/16";;;"1";;"1";
"00048710 ";"DOCN";"CHA";"DI001 - REQUALIF. PERIODIQUE SOUPAPES SEBIM - 1234P2017 DAM";"DAM";"PAIDSPRCOM";"31/12/16";"APPROUVÉ";"07/11/16";;;"1";;"1";
"00048714 ";"DOCN";"IDS";"REX HIVER 2012 FROID INTENSE - 1234C2016 DAM";"DAM";"PAIDSPI";"30/06/17";"APPROUVÉ";"07/11/16";;;"1";;"1";
"00047867 ";"DOCN";" ";"DI001 - MEA GUIDE MANAGEMENT 102 - 1234C2016 DAM";"DAM";"PAMAGPRDOC";"31/12/16";"APPROUVÉ";"04/11/16";;;"1";;;
"00048725 ";"DOCN";" ";"DI001 - REX sur les soupapes SEBIM RRA-RCV - 1234C2016 DAM";"DAM";"PACHAPI";"31/03/17";"NOTIFIÉ";"04/11/16";;;"1";;;
"00048748 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°234 à 235 NOV 2016";"DAM";"PAIDSILD";"31/12/16";"APPROUVÉ";"04/11/16";;;"1";;;
"00047790 ";"DOCN";"ENV";"DI001 - MEA REGLE ENVIRON ETIQUET SUBST DANG - 1234C2017 DAM";"DAM";"PAIDSPRTRA";"01/06/17";"APPROUVÉ";"21/10/16";;;"1";;;
"00047858 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°232 à 233 OCTO 2016";"DAM";"PAIDSILD";"31/12/16";"APPROUVÉ";"21/10/16";;;"1";;;
"00047499 ";"DOCN";"SIR";"[PIE] - fonction GCT606TY-B 1234P 2017-2018";"DAM";"PASIRPI";"18/04/17";"APPROUVÉ";"18/10/16";;;"1";;;
"00039995 ";"DOCN";" ";"DI001 - MEA DU DA REF H3 - 1234C2018 DAM";"DAM";"PASURPRCH6";"01/03/18";"APPROUVÉ";"10/10/16";;;"1";;;
"00045286 ";"DOCN";" ";"DI001 - MEA ITS SURCHARGE DIESEL CPY - 1P2017 DAM";"DAM";"PASURPRCH6";"01/08/17";"APPROUVÉ";"10/10/16";;;"1";;;
"00045290 ";"DOCN";" ";"DI001 - MEA ITS SURCHARGE DIESEL CPY - 3P2017 DAM";"DAM";"PASURPRCH6";"09/10/17";"APPROUVÉ";"10/10/16";;;"1";;;
"00047047 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°230 à 231 2016";"DAM";"PAIDSILD";"22/12/16";"APPROUVÉ";"10/10/16";;;"1";;;
"00047067 ";"DOCN";"VCL";"DI001 - MEA de PB900DVK0100FA01 - 3C2017 DAM";"DAM";"PAIDSPRSYS";"31/12/17";"APPROUVÉ";"10/10/16";;;"1";;;
"00047087 ";"DOCN";"VCL";"DI001 - MEA de PB900DVK0100FA01 - 4C2018 DAM";"DAM";"PAIDSPRSYS";"31/12/18";"APPROUVÉ";"10/10/16";;;"1";;;
"00023333 ";"DOCN";"SIR";"[PIE] - fonction GSS418TY 1234P 2016-2017";"DAM";"PASIRPI";"18/03/16";"APPROUVÉ";"30/09/16";;;"1";;;
"00046236 ";"DOCN";" ";"DI001 - MEA GUIDE 696 - 1234C2017 DAM";"DAM";"PADIRPI";"30/06/17";"NOTIFIÉ";"27/09/16";;;"1";;;
"00046259 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°228 à 229 SEPTEMBRE 2016";"DAM";"PAIDSILD";"30/11/16";"APPROUVÉ";"27/09/16";;;"1";;;
"00037879 ";"DOCN";" ";"DI001 - MEA de la PNPP1345A - 1234P2017 - DAM";"DAM";"PAMECPI";"01/12/18";"APPROUVÉ";"22/09/16";;;"1";;;
"00045434 ";"DOCN";"SIR";"[PIE] - récipients GSSx00ZZ-C 24P 2018";"DAM";"PASIRPI";"20/03/17";"APPROUVÉ";"20/09/16";;;"1";;;
"00044102 ";"DOCN";" ";"DI001 - MHA BASE MAINTENANCE PREVENTIVE - 1234C2017 DAM";"DAM";"PAIDSILD";"31/03/17";"APPROUVÉ";"19/09/16";;"1";"1";;;
"00044135 ";"DOCN";"IDS";"DEROGATION : D455016034405 - 1234C2016 DAM";"DAM";"PAIDSPI";"31/12/16";"APPROUVÉ";"19/09/16";;;"1";;;
"00045284 ";"DOCN";" ";"DI001 - MEA REFERENTIEL INCENDIE - 1234C2017 DAM";"DAM";"PASPRPI";"31/03/17";"APPROUVÉ";"16/09/16";;;"1";;;
"00045300 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°224 à 227 AOUT 2016";"DAM";"PAIDSILD";"30/11/16";"APPROUVÉ";"16/09/16";;;"1";;;
"00045238 ";"DOCN";"SIR";"[PIE] - récipients VVP010/020/030/274BA 1234P 2017-2018";"DAM";"PASIRPI";"14/03/17";"APPROUVÉ";"14/09/16";;;"1";;;
"00032983 ";"DOCN";" ";"DI001 - MHA SPECIFICATIONS RADIO-CHIMIQUES-1234C2017 DAM";"DAM";"PALABPI";"01/12/16";"APPROUVÉ";"09/09/16";;;"1";;;
"00039070 ";"DOCN";" ";"DI001-MEA R.E. NON RGE DE LA MESURE CATIONS- 1234C2017 DAM";"DAM";"PALABPI";"31/12/17";"APPROUVÉ";"09/09/16";;;"1";;;
"00039071 ";"DOCN";" ";"DI001-MEA R.E. NON RGE DE LA MES. EFFLT ET ENV-1234C2018 DAM";"DAM";"PALABPI";"30/06/18";"APPROUVÉ";"09/09/16";;;"1";;;
"00031374 ";"DOCN";" ";"DI001-MEA EPCRPR012 PNPP1226-Modif voie A 2P2018 - DAM";"DAM";"PAEXPPI";"01/06/18";"APPROUVÉ";"26/08/16";;;"1";;;
"00042754 ";"DOCN";" ";"DI001 - MEA de la PNPP1548 et du REX - 3P2017 - DAM";"DAM";"PAAUTPI";"01/10/17";"APPROUVÉ";"19/08/16";;;"1";;;
"00042755 ";"DOCN";" ";"DI001 - MEA de la PNPP1548 et du REX - 4P2018 - DAM";"DAM";"PAAUTPI";"01/10/18";"APPROUVÉ";"19/08/16";;;"1";;;
"00043448 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°220 à 223 JUILLET 2016";"DAM";"PAIDSILD";"31/10/16";"APPROUVÉ";"18/08/16";;;"1";;;
"00042706 ";"DOCN";"IDS";"DI001 - MEA STRATEGIE DE MAINT D455016008492 - 1234C2017 DAM";"DAM";"PAIDSPI";"30/06/17";"APPROUVÉ";"17/08/16";;;"1";;;
"00042724 ";"DOCN";" ";"DI001 - MEA DOCTRINE DE MAINT SYST CTE - 1234C2017 DAM";"DAM";"PAIDSPRSYS";"31/05/17";"APPROUVÉ";"09/08/16";;"1";"1";;;
"00042726 ";"DOCN";" ";"DI001 - MEA CPY FA ASG 066 ET FA ASSOCIEES - 1234C2017 DAM";"DAM";"PASURPRCH9";"01/03/18";"APPROUVÉ";"09/08/16";;;"1";;"1";
"00024273 ";"DOCN";"IDS";"DEROGATION - D455015034542/843/844 - 1234P2016 DAM";"DAM";"PAIDSPI";"01/08/16";"APPROUVÉ";"18/07/16";;;"1";;"1";
"00041134 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°215 à 219 JUIN 2016";"DAM";"PAIDSILD";"30/09/16";"APPROUVÉ";"18/07/16";;;"1";;;
"00028357 ";"DOCN";"MEC";"DEROGATION : D455016001144 - 1234P2016 DAM";"DAM";"PAIDSPRCOM";"01/11/18";"APPROUVÉ";"06/07/16";;"1";"1";;;
"00040173 ";"DOCN";"SIR";"[PIE] - fonction APP603TY 1234P 2017-2018";"DAM";"PASIRPI";"06/01/17";"APPROUVÉ";"06/07/16";;;"1";;;
"00040181 ";"DOCN";"SIR";"[PIE] - fonction APP604TY-A 1234P 2017-2018";"DAM";"PASIRPI";"06/01/17";"APPROUVÉ";"06/07/16";;;"1";;;
"00039988 ";"DOCN";"CHA";"DEROGATION : D455016021239 [0] [DP330] - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"31/12/17";"APPROUVÉ";"01/07/16";;"1";"1";;;
"00039989 ";"DOCN";"ENV";"DI001 - MEA LISTE GENERIQUE EIPI CNPE - 1234C2016 DAM";"DAM";"PAIDSPRTRA";"31/12/17";"APPROUVÉ";"01/07/16";;;"1";;;
"00039975 ";"DOCN";" ";"DI001 -MEA GUIDE 796:MAITRISE QUAL MAINT EXPL-1234C2017 DAM";"DAM";"PAPJTPI";"30/06/17";"NOTIFIÉ";"30/06/16";;;"1";;;
"00026372 ";"DOCN";" ";"DI001 - MEA DE L'INSTRUCTION ""PNPP1628"" - 3C2017 DAM";"DAM";"PASURPRCH6";"08/09/17";"APPROUVÉ";"28/06/16";;;"1";;"1";
"00026373 ";"DOCN";" ";"DI001 - MEA DE L'INSTRUCTION ""PNPP1628"" - 4C2018 DAM";"DAM";"PASURPRCH6";"30/06/18";"APPROUVÉ";"28/06/16";;;"1";;;
"00037853 ";"DOCN";" ";"DI001 - MEA DE L'ITS ACCIDENT GRAVE CPY - 1234C2018 DAM";"DAM";"PASURPRCH6";"01/12/18";"APPROUVÉ";"28/06/16";;;"1";;;
"00031376 ";"DOCN";" ";"DI001-MEA des EPCRPR011/EPCRPR012 pour PNPP1226-4P2018 DAM";"DAM";"PAEXPPI";"30/08/18";"APPROUVÉ";"23/06/16";;;"1";;;
"00039012 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°212 à 214 MAI 2016";"DAM";"PAIDSILD";"31/08/16";"APPROUVÉ";"17/06/16";;;"1";;;
"00039085 ";"DOCN";"CHA";"PLMP-SUIVI CORROS°/EROS° LIGN NON MODELISE BRT-1234C2018 DAM";"DAM";"PAIDSPRCOM";"30/06/17";"APPROUVÉ";"16/06/16";;"1";"1";;;
"00037877 ";"DOCN";"ROB";"DI001 - MEA de la DP 309 indice 2- 1234P2018 DAM";"DAM";"PAIDSPRCOM";"01/12/18";"APPROUVÉ";"06/06/16";;"1";"1";;;
"00032982 ";"DOCN";" ";"DI001-MHA DES SPECIFICAT° CHIMIQUES TS PALIERS-1234C2017 DAM";"DAM";"PALABPI";"01/12/16";"APPROUVÉ";"20/05/16";;;"1";;;
"00036715 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°207 à 211 AVRIL 2016";"DAM";"PAIDSILD";"31/07/16";"APPROUVÉ";"17/05/16";;;"1";;;
"00036356 ";"DOCN";"SIR";"[PIE] - fonction AHP600TY-2 1234P 2017-2018";"DAM";"PASIRPI";"11/11/16";"APPROUVÉ";"11/05/16";;;"1";;;
"00036180 ";"DOCN";" ";"DI001 - MHA SPECIFICIATION TECHNIQUE D'EXPL - 1234C2016 DAM";"DAM";"PASURPRCH3";"01/11/16";"APPROUVÉ";"09/05/16";;;"1";;;
"00036187 ";"DOCN";"AUT";"DEROGATION : D455016010828 - 1234P2018 DAM";"DAM";"PAIDSPRCOM";"01/10/18";"APPROUVÉ";"09/05/16";;"1";"1";;;
"00035314 ";"DOCN";"AUT";"DEROGATION : D455016012065 - 1234C2016 DAM";"DAM";"PAIDSPRCOM";"01/09/16";"APPROUVÉ";"26/04/16";;"1";"1";;;
"00035326 ";"DOCN";" ";"DI001 - MEA FA 03 RPMQ CPY VD2 ind2/VD3 ind1 1234P2017 DAM";"DAM";"PAIDSPRTRA";"31/08/17";"APPROUVÉ";"26/04/16";;;"1";;"1";
"00035318 ";"DOCN";" ";"DI001 - MEA DI001 ind 2 - 1234C2016 DAM";"DAM";"PAIDSILD";"31/12/16";"APPROUVÉ";"25/04/16";;;"1";;;
"00035333 ";"DOCN";"CHA";"DI001 - MEA ARRETE 12/12/2005 RELATIF ESPN - 1234C2016 DAM";"DAM";"PACHAPI";"31/12/16";"NOTIFIÉ";"25/04/16";;;"1";;;
"00034465 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°204 à 206 MARS 2016";"DAM";"PAIDSILD";"30/06/16";"APPROUVÉ";"13/04/16";;;"1";;;
"00032994 ";"DOCN";" ";"DI001-REX P1 juil 2015-création EPA RRI 471/472- 1P2017 DAM";"DAM";"PAAUTPI";"01/08/17";"APPROUVÉ";"01/04/16";;;"1";;;
"00032981 ";"DOCN";" ";"DI001-MHA REGLES PREV RISQUES INCENDIE - 1234C2017 DAM";"DAM";"PASPRPI";"01/12/16";"APPROUVÉ";"25/03/16";;;"1";;;
"00032341 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°200 à 203 FEVRIER 2016";"DAM";"PAIDSILD";"31/05/16";"APPROUVÉ";"14/03/16";;;"1";;;
"00032130 ";"DOCN";"AUT";"DI001 - DP 276 IND2 Rempl. des alims BT - 1234P2016 DAM";"DAM";"PAIDSPRCOM";"01/11/17";"APPROUVÉ";"10/03/16";;"1";"1";;;
"00031363 ";"DOCN";" ";"DI001-MEA REX 2015 refonte objets SDIN COMBUST 1234P2016 DAM";"DAM";"PALNUPI";"30/09/16";"APPROUVÉ";"02/03/16";;;"1";;;
"00031362 ";"DOCN";" ";"DI001-MEA des EPCRPR011/EPCRPR012 pour PNPP1226-1P2019 DAM";"DAM";"PAEXPPI";"15/06/19";"NOTIFIÉ";"29/02/16";;;"1";;;
"00031375 ";"DOCN";" ";"DI001-MEA des EPCRPR011/EPCRPR012 pour PNPP1226-3P2019 DAM";"DAM";"PAEXPPI";"15/06/19";"NOTIFIÉ";"29/02/16";;;"1";;;
"00030591 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°196 à 199 JANVIER 2016";"DAM";"PAIDSILD";"30/04/16";"APPROUVÉ";"15/02/16";;;"1";;;
"00030477 ";"DOCN";"AUT";"PLMP - Capteurs DI61 indice B - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"01/12/17";"APPROUVÉ";"11/02/16";;"1";"1";;;
"00025169 ";"DOCN";" ";"DI001 - MEA NTAQ PDR D4507070907 IND 2 - 1234P2017 DAM";"DAM";"PALNUPI";"30/06/16";"APPROUVÉ";"09/02/16";;;"1";;;
"00028355 ";"DOCN";" ";"DI001 - MHA règles de RP - 1234C2017 DAM";"DAM";"PASPRPI";"01/04/17";"APPROUVÉ";"01/02/16";;;"1";;;
"00028338 ";"DOCN";"EXP";"DI001 - MEA RPC DOATEX PNPP1150 - 1P2017 DAM";"DAM";"PAIDSPRTRA";"01/12/17";"APPROUVÉ";"28/01/16";;;"1";;;
"00028341 ";"DOCN";"EXP";"DI001 - MEA RPC DOATEX PNPP1150 - 3P2017 DAM";"DAM";"PAIDSPRTRA";"01/12/17";"APPROUVÉ";"28/01/16";;;"1";;;
"00028342 ";"DOCN";"EXP";"DI001 - MEA RPC DOATEX PNPP1150 - 4P2018 DAM";"DAM";"PAIDSPRTRA";"01/12/18";"APPROUVÉ";"28/01/16";;;"1";;;
"00027378 ";"DOCN";"SIR";"[PIE] - récipient GSSx01BA 1234P 2017-2018";"DAM";"PASIRPI";"18/03/16";"APPROUVÉ";"18/01/16";;;"1";;;
"00027399 ";"DOCN";" ";"DI001-MHA DES REGLES DE RADIOPRO TS PALIERS - 1234C2016 DAM";"DAM";"PASPRPI";"31/12/16";"APPROUVÉ";"18/01/16";;;"1";;;
"00027140 ";"DOCN";"SIR";"[PIE] - récipient DAT et PMC TEM 2016";"DAM";"PASIRPI";"13/07/16";"APPROUVÉ";"13/01/16";;;"1";;;
"00027268 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°192 à 195 DECEMBRE 2015";"DAM";"PAIDSILD";"31/03/16";"APPROUVÉ";"13/01/16";;;"1";;;
"00022918 ";"DOCN";" ";"DI001-MEA FA 01 RPMQ CPY VD2 ind2 et VD3 ind1-1234C2015 DAM";"DAM";"PAIDSPRTRA";"30/06/17";"APPROUVÉ";"07/01/16";;;"1";;"1";
"00026914 ";"DOCN";"EXP";"[DI001]-MEA de FA CA CPY 007 indice 0 - PNPP 1628-3C2017 DAM";"DAM";"PAIDSPRTRA";"31/10/17";"APPROUVÉ";"30/12/15";;;"1";;"1";
"00026915 ";"DOCN";"EXP";"[DI001]-MEA de FA CA CPY 007 indice 0 - PNPP 1628-4C2018 DAM";"DAM";"PAIDSPRTRA";"01/06/18";"APPROUVÉ";"30/12/15";;;"1";;;
"00022693 ";"DOCN";" ";"[DI001]- MAJ  CHAP9 LHP/Q044 PNPP1342 - 3P2017 - DAM";"DAM";"PASURPRCH9";"01/11/17";"APPROUVÉ";"28/12/15";;;"1";;;
"00026910 ";"DOCN";" ";"[DI001]-MEA de la FA DVK 009 - PNPP1628- 3C2017 DAM";"DAM";"PASURPRCH9";"31/08/17";"APPROUVÉ";"28/12/15";;;"1";;"1";
"00026911 ";"DOCN";" ";"[DI001]-MEA de la FA DVK 009 - PNPP1628- 4C2018 DAM";"DAM";"PASURPRCH9";"01/06/18";"APPROUVÉ";"28/12/15";;;"1";;;
"00026436 ";"DOCN";"SIR";"[PIE] - récipient GSSx02BA 1234P 2017-2018";"DAM";"PASIRPI";"21/06/16";"APPROUVÉ";"21/12/15";;;"1";;;
"00026390 ";"DOCN";" ";"DI001 - MEA IND.4 DU REFERENCIEL RADIOPRO - 1234C2017 DAM";"DAM";"PASPRPI";"01/01/17";"APPROUVÉ";"17/12/15";;;"1";;;
"00026426 ";"DOCN";"SIR";"[PIE] - récipient GSSx00ZZ-C/F 1234P 2017-2018";"DAM";"PASIRPI";"16/06/16";"APPROUVÉ";"16/12/15";;;"1";;;
"00026376 ";"DOCN";" ";"DI001 - DP 328 IND0 ""DDG PTR"" - 1234C2015 DAM";"DAM";"PAIDSPRSYS";"30/06/18";"APPROUVÉ";"14/12/15";;;"1";;"1";
"00026382 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°188 à 191 NOVEMBRE 2015";"DAM";"PAIDSILD";"29/02/16";"APPROUVÉ";"14/12/15";;;"1";;;
"00022548 ";"DOCN";" ";"[DI001]-MEA FA KRT034B-PNPP1483- KRT007MA- 1P2017-DAM";"DAM";"PASURPRCH9";"06/09/17";"APPROUVÉ";"09/12/15";;;"1";;"1";
"00025181 ";"DOCN";"EXP";"[DI001]-MEA de FA CA CPY 006 indice 0-PNPP 1702 - 2C2018 DAM";"DAM";"PAIDSPRTRA";"31/12/18";"APPROUVÉ";"07/12/15";;;"1";;;
"00025187 ";"DOCN";"EXP";"[DI001]-MEA de FA CA CPY 006 indice 0-PNPP 1702 - 4C2018 DAM";"DAM";"PAIDSPRTRA";"31/12/18";"APPROUVÉ";"07/12/15";;;"1";;;
"00025192 ";"DOCN";" ";"DI001-MEA PNPP1628 ""CASEMATAGE EVENT BACHE PTR"" - 3C2017 DAM";"DAM";"PASURPRCH3";"31/12/17";"APPROUVÉ";"25/11/15";;;"1";;;
"00025194 ";"DOCN";" ";"DI001-MEA PNPP1628 ""CASEMATAGE EVENT BACHE PTR"" - 4C2018 DAM";"DAM";"PASURPRCH3";"31/12/18";"APPROUVÉ";"25/11/15";;;"1";;;
"00025679 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°183 à 187 OCTOBRE 2015";"DAM";"PAIDSILD";"31/01/16";"APPROUVÉ";"19/11/15";;;"1";;;
"00023529 ";"DOCN";" ";"DI001-DT346 ind1 GEST° MDP/SUPPORTS AMOVIBLES-1234C2016 DAM";"DAM";"PAINFPI";"31/12/16";"APPROUVÉ";"30/10/15";;;"1";;"1";
"00021085 ";"DOCN";" ";"DI001 - PPN°97 - Calo TH GV SEC -  1234P2013- DAM";"DAM";"PALNUPI";"30/11/16";"APPROUVÉ";"21/10/15";;;"1";;"1";
"00024011 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°175 à 178 AOUT 2015";"DAM";"PAIDSILD";"01/05/16";"APPROUVÉ";"01/10/15";;;"1";;;
"00024012 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°179 à 182 SEPTEMBRE 2015";"DAM";"PAIDSILD";"01/05/16";"APPROUVÉ";"01/10/15";;;"1";;;
"00023327 ";"DOCN";"SIR";"[PIE] - fonction GSS118TY 1234P 2016-2017";"DAM";"PASIRPI";"18/03/16";"APPROUVÉ";"18/09/15";;;"1";;;
"00023329 ";"DOCN";"SIR";"[PIE] - fonction GSS218TY 1234P 2016-2017";"DAM";"PASIRPI";"18/03/16";"APPROUVÉ";"18/09/15";;;"1";;;
"00023330 ";"DOCN";"SIR";"[PIE] - fonction GSS318TY 1234P 2016-2017";"DAM";"PASIRPI";"18/03/16";"APPROUVÉ";"18/09/15";;;"1";;;
"00022961 ";"DOCN";"CHA";"Cplmts PNPP1402 -visite périodique SAR050BA-1234P2017-DAM";"DAM";"PACHAPI";"01/03/17";"NOTIFIÉ";"08/09/15";;;"1";;;
"00021087 ";"DOCN";"ELE";"DI001-DP221 ind 2 Rempl. relais ITG série 100-1234P2020- DAM";"DAM";"PAIDSPRCOM";"31/12/20";"APPROUVÉ";"02/09/15";;"1";"1";;;
"00020530 ";"DOCN";"VCL";"DI001-Déclinaison PB900 AM470-06 ind0 - 1234P2017 - DAM";"DAM";"PAIDSPRSYS";"30/06/16";"APPROUVÉ";"27/08/15";;;"1";;;
"00020253 ";"DOCN";"IDS";"DI001 - MEA de AP913 TF1468 - J1A - 1234P2017 DAM";"DAM";"PAIDSPI";"30/06/16";"APPROUVÉ";"26/08/15";;;"1";;;
"00022743 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°170 à 174 JUILLET 2015";"DAM";"PAIDSILD";"01/06/16";"APPROUVÉ";"24/08/15";;;"1";;;
"00022538 ";"DOCN";" ";"DI001 - DP327 ind0:Examen conformité VD4 900 - 1234C2016 DAM";"DAM";"PAIDSPRTRA";"31/12/17";"APPROUVÉ";"21/08/15";;;"1";;;
"00022258 ";"DOCN";"SIR";"[PIE] - fonction AHP612TY 1234P 2016-2017";"DAM";"PASIRPI";"18/03/16";"APPROUVÉ";"13/08/15";;;"1";;;
"00021793 ";"DOCN";"SIR";"[PIE] - fonction GCT606TYB 1234P 2016-2017";"DAM";"PASIRPI";"29/01/16";"APPROUVÉ";"30/07/15";;;"1";;;
"00021093 ";"DOCN";" ";"DI001-CSE RSE FA ASG-123C2017 DAM";"DAM";"PAEXPPI";"31/12/17";"APPROUVÉ";"29/07/15";;;"1";;;
"00020503 ";"DOCN";" ";"DI001-MEA IND5 CPTABILISAT° DOSES ET SYST INFO-1234C2017 DAM";"DAM";"PASPRPI";"31/12/16";"APPROUVÉ";"28/07/15";;;"1";;;
"00020508 ";"DOCN";" ";"DI001 - MEA DE L'IND4 ""OPTIMISAT° RADIOPRO"" -  1234C2017 DAM";"DAM";"PASPRPI";"31/12/16";"APPROUVÉ";"28/07/15";;;"1";;;
"00021373 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°166 à 169 JUIN 2015";"DAM";"PAIDSILD";"01/05/16";"APPROUVÉ";"22/07/15";;;"1";;;
"00021084 ";"DOCN";" ";"DI001 - FA ASG 059 et LLS037- 1234P2018 DAM";"DAM";"PASURPRCH9";"31/12/18";"APPROUVÉ";"21/07/15";;;"1";;;
"00021356 ";"DOCN";" ";"DI001 - FA ASG 064 indice A  sondes US- 1234C2018- DAM";"DAM";"PASURPRCH9";"31/12/18";"APPROUVÉ";"21/07/15";;;"1";;"1";
"00021134 ";"DOCN";"ELE";"DI001-DP273 cables 6.6kV1234P2017- DAM";"DAM";"PAIDSPRCOM";"31/12/17";"APPROUVÉ";"09/07/15";;;"1";;;
"00020999 ";"DOCN";"SIR";"[PIE] - fonction AHP003TY 1234P 2015-2016-2017";"DAM";"PASIRPI";"24/09/15";"APPROUVÉ";"06/07/15";;;"1";;;
"00020292 ";"DOCN";" ";"DI001 - MEA DE LA MAJ DE LA NTAQ 00289 - 1234C2015 DAM";"DAM";"PAFARPI";"01/10/15";"NOTIFIÉ";"24/06/15";;;"1";;;
"00019575 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°162 à 165 MAI 2015";"DAM";"PAIDSILD";"01/05/16";"APPROUVÉ";"08/06/15";;;"1";;;
"00019494 ";"DOCN";" ";"DI001 - DT396 (1) Management du Pluriannuel - 1234C2017 DAM";"DAM";"PAPJTPI";"31/12/17";"NOTIFIÉ";"04/06/15";;;"1";;;
"00019145 ";"DOCN";" ";"DI001 - MEA de la FA RRI 034 C PNPP1371 - 3P2017 DAM";"DAM";"PASURPRCH9";"01/12/17";"APPROUVÉ";"21/05/15";;;"1";;;
"00019077 ";"DOCN";"SIR";"[PIE] - fonction ABP050TY 1234P 2016-2017";"DAM";"PASIRPI";"29/01/16";"SOUMIS";"19/05/15";;;"1";;;
"00019083 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°157 à 161 AVRIL 2015";"DAM";"PAIDSILD";"01/05/16";"APPROUVÉ";"19/05/15";;;"1";;;
"00018537 ";"DOCN";"ENV";"DI001 - MEA maitrise confinement AP 13-05 - 1234C2016 DAM";"DAM";"PAIDSPRTRA";"31/12/16";"APPROUVÉ";"27/04/15";;;"1";"1";"1";
"00018539 ";"DOCN";" ";"DI001 - MEA DI128 indice 1 - 1234C2015 DAM";"DAM";"PASURPRPQ";"01/08/15";"APPROUVÉ";"27/04/15";;;"1";;"1";
"00017469 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°149 à 152 Février 2015";"DAM";"PAIDSILD";"01/05/16";"APPROUVÉ";"13/04/15";;;"1";;;
"00017473 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°153 à 156 Mars 2015";"DAM";"PAIDSILD";"01/05/16";"APPROUVÉ";"13/04/15";;;"1";;;
"00016164 ";"DOCN";"CHA";"DI001 - FA 4 PBMP AM-150-01 indice 0 - 1234C2017 DAM";"DAM";"PACHAPI";"31/12/17";"NOTIFIÉ";"26/02/15";;;"1";;;
"00015219 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°140 à 143 Décembre 2014";"DAM";"PAIDSILD";"01/05/16";"APPROUVÉ";"05/02/15";;;"1";;;
"00015567 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°144 à 148 Janvier 2015";"DAM";"PAIDSILD";"01/05/16";"APPROUVÉ";"05/02/15";;;"1";;;
"00015464 ";"DOCN";"ELE";"DI001 - DP321 ctl fixations clips - 1P2015-2017 DAM";"DAM";"PAIDSPRCOM";"01/12/19";"APPROUVÉ";"29/01/15";;;"1";;"1";
"00015465 ";"DOCN";"ELE";"DI001 - DP321 ctl fixations clips - 2P2016-2018 DAM";"DAM";"PAIDSPRCOM";"01/12/18";"APPROUVÉ";"29/01/15";;;"1";;"1";
"00015466 ";"DOCN";"ELE";"DI001 - DP321 ctl fixations clips - 4P2016-2018 DAM";"DAM";"PAIDSPRCOM";"01/12/18";"APPROUVÉ";"29/01/15";;;"1";;"1";
"00015467 ";"DOCN";"ELE";"DI001 - DP321 ctl fixations clips - 3P2015-2017 DAM";"DAM";"PAIDSPRCOM";"01/12/17";"APPROUVÉ";"29/01/15";;;"1";;"1";
